id	filename	md5	size	state
7311294e-127b-442f-918e-5619164bbe13	TCGA-85-A4QQ-01A-51-A45D-20_RPPA_data.tsv	a9caa7758d413c39b1623370f93a2e4b	24031	released
19b7dc76-2732-4308-a61c-b814622c5d06	nationwidechildrens.org_ssf.TCGA-85-A4QQ.xml	14caf05b4d9f38822b8b9627d352908c	14924	released
9975928d-a87d-4997-9de3-809f8e62e273	TCGA-85-A4QQ-01A-41D-A92V-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	4f668cbf459e9213f34325dcb3cb81af	110661	released
ebd3e325-5cee-486e-8fb6-6113ffbd20a4	042d1918-78a0-4655-a421-0c8b38538170.rna_seq.genomic.gdc_realn.bam	8e40375fe86c6a586c00e96264187136	7883591156	released
18c18613-c1e7-46fd-b045-d57330a9ce21	TCGA-85-A4QQ-01Z-00-DX1.321B5149-FC07-434D-9819-3F8821D77849.svs	886eb7d95df42672ca729a4bf277dd70	575056779	released
c8dc4672-c66d-4f59-88bd-3020230698fd	DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_G02_1322478.nocnv_grch38.seg.v2.txt	834ed240959b702961d7e767e54e719a	3187	released
0bde4f32-b0ce-472f-851a-b4571916b502	21d77f2e-29b3-4799-adc9-a0fe3acf7373.methylation_array.sesame.level3betas.txt	a6e937f6321295665c48af27138e16e7	13079329	released
53f05643-7b39-408b-95eb-3c5fe9c3c219	e4516e35-d28b-411b-9f8e-70d2b19b3a44.mirbase21.isoforms.quantification.txt	24ccc30b06896661a8f7712add7daa02	333914	released
8ff9cb94-cfab-422c-ae22-2f54bdad3618	e4516e35-d28b-411b-9f8e-70d2b19b3a44.mirbase21.mirnas.quantification.txt	48f13e45fee02f3abeda69f5a8cf310e	50278	released
d0b3e3c6-c1d8-4744-8a8d-5942bc37755e	8782c91d-9af2-42e4-9851-298a04db5551.somatic_sv.vcf.gz	0d2b90f752234408db90e373bb43aa5b	78472	released
647a22b8-8a3e-476e-bd7a-2c2046379be6	TCGA-51-4079-01A-01-TS1.a9e1a7c9-cd00-4c66-838b-555a5c91c2db.svs	3bed9aaaa6b1f4497ee021a2db75c8fe	45261229	released
6b5c8ebc-a182-4ae0-9537-16659336be1e	TCGA-LUSC.174ee13a-0b64-4314-921f-acae17a44e5f.star_fusion.rna_fusion.bedpe	3c7fdb5c5e27a4ab28b1696b9585a0ec	445	released
909d075b-c742-4588-be60-5d42b7daa6da	359e6fbb-cf25-46f1-ae11-77505dcaca1b.wxs.Pindel.aliquot.maf.gz	2201aa8b58a17b2904ab469dd68d02b1	77929	released
2dd41e41-5673-4ec8-b649-2c4287a78272	fb33a839-4c31-41f3-964e-fb3befcbc0cd.rna_seq.genomic.gdc_realn.bam	cb2f14572082c089b41baf1af68206b5	21426098163	released
2190cffd-0115-4139-ac5b-96750be1bd38	0a43aade-225c-4a29-b1d8-6b930eb8a1db_wxs_gdc_realn.bam	af2ea2b3338006198c2b9a5528032a41	29545592671	released
d4e5b6bf-d5f8-4267-9c9a-fdfb16962c99	TCGA-LUSC.07b4ad00-9981-4042-8f87-8a711ecccba0.arriba.rna_fusion.tsv	e2e74a12e0025f5f8fedbbe980cf3577	32008	released
8b3483d5-8b22-4d7d-a47a-e7c8b625a98c	TCGA-LUSC.c5a116c6-e2f0-44a8-be81-d1216c101196.star_fusion.rna_fusion.tsv	a04b756639a82eab6be031fa773d069f	785	released
623e6d03-13ee-4e88-8171-6219f36ae522	TCGA-51-4079-01A-01T-1557-13_mirna_gdc_realn.bam	94a83d79bf98e7f28052e030bbbfd984	65363610	released
e6fe5aef-be80-43bd-8883-de2a6ddeeb7d	92f1e0a2-a6c6-4abe-bbcb-a8062720c8f7.mirbase21.mirnas.quantification.txt	9496535d2700650d50db1882a8bd60f0	50157	released
e8b40c3c-7032-441f-883b-a8b11019b3b8	d4395340-ce63-46a2-a774-24336c3e821f.wxs.MuSE.aliquot.maf.gz	699d466a9d58caba0c5826d5162b745b	439934	released
2b27ed70-3fe0-4322-b9c9-5e9b01b266e6	TCGA_LUSC.d10847dd-c5fa-41fd-9b15-a4ba9369af32.wxs.VarScan2.somatic_annotation.vcf.gz	11bf8bd7fb747af56e4e363c1e0ded6e	701125	released
cdf7c93e-9b17-4fd7-adb4-692f198044e6	e10e946b-51f4-43ee-8d8d-4397dd855317.wxs.MuTect2.aliquot.maf.gz	753a48e99c0a2870efa3183df1a8819f	2483693	released
0cf6950d-4c6b-4a86-87fd-b2ed121db107	TCGA-51-4079-01Z-00-DX1.111f7796-3797-4334-b543-918e374dbc22.svs	97da1e00fea78076728ce2de508d6439	458168319	released
fa6e3b40-1488-416d-804e-78717910a570	TCGA-LUSC.9a8ff65f-67c1-48cc-a712-71a704da452a.ascat2.allelic_specific.seg.txt	42c7de97dc89ce873380188b4b4262a8	12682	released
6707deb7-302a-4d49-9db8-ca61db86e353	BUNCH_p_TCGAb53_SNP_1N_GenomeWideSNP_6_B05_666844.grch38.seg.v2.txt	ee0bd33fbd65faee183b316c740bcdcf	35531	released
3d57471a-6d5e-443d-b8ae-a249b7635aa2	BUNCH_p_TCGAb53_SNP_1N_GenomeWideSNP_6_A12_666766.CEL	0169867f1e45ba74824abf8ce9db6250	69056037	released
b612b7b4-d0f1-45e4-b5c6-ce7e99f5f220	fb33a839-4c31-41f3-964e-fb3befcbc0cd.rna_seq.star_splice_junctions.tsv.gz	97c64eb06d00471478bfbd874ceb45b9	3548214	released
1ffebb3d-baed-4261-b511-1693ef6c6092	TCGA-51-4079-11A-01-TS1.8a22d88d-afcc-4a61-b267-780d5d738f36.svs	e520dbcf614d1dffcdcff3047fca003e	74289503	released
ec29804d-0237-40ba-9325-5d771472a4bb	fb33a839-4c31-41f3-964e-fb3befcbc0cd.rna_seq.chimeric.gdc_realn.bam	c306f6586dab40c3b4210a0acb0a30a7	379164119	released
303615a1-9807-4992-866e-ec93e2ea8ce6	9dfda51c-2256-4c04-a47c-62a04c670a7f.rna_seq.augmented_star_gene_counts.tsv	66a43c4090bbcb5fbb53d67636a9c294	4237621	released
9c508c6f-ac3e-46f8-a946-a2a247e873ba	BUNCH_p_TCGAb53_SNP_1N_GenomeWideSNP_6_A12_666766.birdseed.data.txt	09edea777ef46b50a2587c185a19bfd1	20850928	released
3f2fdcfd-7298-4cb6-a02f-1425b1bdedbe	9dfda51c-2256-4c04-a47c-62a04c670a7f.rna_seq.genomic.gdc_realn.bam	8964dd03a0f1e90edf2273175246c720	7918613002	released
07af9fd4-ff5f-45a3-b95e-7629d4096829	BUNCH_p_TCGAb53_SNP_1N_GenomeWideSNP_6_B05_666844.CEL	6a383787d649decd701c830cbc6faef4	69092573	released
81f103ab-5b50-4bcb-966b-2b627906aca4	db0707e0-4ea3-48c1-ab86-c2d249f6cc01_wxs_gdc_realn.bam	846dabb361383253ade05b912a18614b	29969187763	released
7a506cfb-dab1-4509-baa7-e21c35f0842a	nationwidechildrens.org_biospecimen.TCGA-51-4079.xml	6cc093584daaa328e6044a1c3b233b56	144326	released
6b45b638-2560-488d-893b-b7bb1d3e7da8	TCGA-51-4079-11A-01-BS1.d7448610-4a7c-4dc6-8775-f17de852a68c.svs	fbad2e8bdb4014ee0a70145d856e12cf	55263009	released
39fab67c-a5bb-48bf-a7e0-86a9503172db	TCGA_LUSC.c5ef3b23-57a6-4c37-b93d-ad771cb23319.wxs.Pindel.somatic_annotation.vcf.gz	e5f3333c8ebe1158957c25de7c7a763e	112124	released
58c0ec47-420a-414b-8d17-bb53b7b11cfc	fb33a839-4c31-41f3-964e-fb3befcbc0cd.rna_seq.transcriptome.gdc_realn.bam	e18e89deadc2fbdb9a26b65976b7eeb6	40489513614	released
b4f9d130-ef50-4875-adf6-4fb219635fde	3c736740-57a9-43cc-803c-f1789191d626_noid_Grn.idat	ac05d2d7d5360d14bcb7cbc7292d8d9d	719552	released
1a9f011b-9a04-41ba-8508-a20a3ae59144	nationwidechildrens.org_ssf.TCGA-51-4079.xml	52e3cfde283a04e5f17915f5e7557aa1	19175	released
bc77290f-3889-4789-89b2-1b31e52a2a2d	57bc4a5c-58e2-4030-ab71-13263b237cf8.wxs.VarScan2.aliquot.maf.gz	82a814f832f4e9ac3f5564d5e0ab08e5	518196	released
1f0773e2-e24b-4219-8eca-a3f8825d6337	TCGA-LUSC.7faad8ea-23af-44d9-b043-77f320bf4e45.arriba.rna_fusion.tsv	0b6d02ecec9bd6c9febe88a7d8208cd4	8916	released
7ed9f83d-76fb-45c2-b122-644f21a9c0e1	TCGA-LUSC.3361ed5c-7ada-4bc7-8038-d6b93fd6f69b.gene_level_copy_number.v36.tsv	6f02cf9f95ea28c0d9b55da3b23b7d89	3446685	released
b4d4b559-73d4-437c-b2d2-98a8ee21805a	TCGA-56-A4BW-01Z-00-DX1.8ED20788-092B-4C21-9D83-5423D853422F.svs	6e58ee16abf96870d52d22b1ddc00b52	750534056	released
90813c09-3257-4361-8fd8-01871ff6fae6	TCGA-LUSC.e9b95ff7-b359-495e-b8b5-8e451ea566cc.ascat2.allelic_specific.seg.txt	eda6eb02f47e61af4a86d0eea8a1c424	12964	released
caed6849-9de7-4651-b5c7-fa54db52f72a	38226231-bc0a-4aa8-9964-1e83653f3c3a.wxs.muse.raw_somatic_mutation.vcf.gz	945bb5484b90cbed394424bbb49c6939	34937	released
cbaf1b60-221c-40c5-8939-8119aabe6bf9	TCGA_LUSC.f9e0efc7-1226-4f14-8b3e-3dc0f256b268.wxs.MuTect2.somatic_annotation.vcf.gz	3c56e2798f87a558d7dc2c9098d24410	1474005	released
31739152-50da-42a3-b550-04d8d845c9f6	0f68b123-763d-4f35-8d1f-3505a32a8b04.wxs.aliquot_ensemble_masked.maf.gz	2c153220895b9c329eef0f52d6718f06	80275	released
18ff4f51-dfd5-4081-bce6-9de93b879328	da21bfb9-d714-450a-a9ab-e0449283ebe5.mirbase21.mirnas.quantification.txt	02e7fa423071b6eafbf4507da2c97601	50255	released
342ad466-198f-4e79-aacb-5e7cdbd7e652	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_C09_1301242.nocnv_grch38.seg.v2.txt	5b0c0c5fe70e911b69aac7c86d69f950	3197	released
a95ff174-36eb-415c-8fc2-45d04ab14bec	da21bfb9-d714-450a-a9ab-e0449283ebe5.mirbase21.isoforms.quantification.txt	ffd56a374ad28055fc13b367fc88bfaf	315989	released
369898c8-a441-482a-be25-b0413c081397	0c9567fb-64b7-4082-ab84-60762b71d75c.wxs.VarScan2.aliquot.maf.gz	b4ec2c030c81b80ff6e2675bd0f36b4c	303537	released
d2e7f8e6-9aca-4388-b7fe-7eadaf5c692c	b21ebf14-6e01-4a39-9ed5-6e83c1a19641.methylation_array.sesame.level3betas.txt	547d4a0e721ac681a28a4d8cd7160442	12746200	released
a508a84a-3abb-4c63-90c4-056ed52f183a	TCGA-LUSC.370d9d41-a822-475a-8255-a8db95b8111f.star_fusion.rna_fusion.bedpe	4abe9e4af73c1b25ec83edd0a3bfa4cb	961	released
4498250b-1fc0-4450-870f-795fc61fb3af	TCGA-56-A4BW-01A-01-TS1.CF388F43-5201-4D9C-87A9-330ECF7581FE.svs	f473f008e5d71e52cf15fa7c336a7e67	95523736	released
c2dbf631-f1f0-4cf2-97ff-b087d4d960c8	TCGA-56-A4BW-01A-11H-A24G-13_mirna_gdc_realn.bam	f90ba820df3fda419cce9d98428d8148	127641137	released
f1e79f4b-fe3c-4ce4-8657-9b42c59bc48a	38226231-bc0a-4aa8-9964-1e83653f3c3a.wxs.mutect2.raw_somatic_mutation.vcf.gz	af5010bff91f14ef7b4ce36b74ad7e3a	204531	released
